Name,Team,Pos,DRS,UZR,Def,OAA,NameASCII,PlayerId,MLBAMID
"Johan Rojas","PHI","CF",4,2.714328944683075,8.507706260566794,8,"Johan Rojas",24336,679032
"Bryce Harper","PHI","1B",5,1.4178590774536133,-3.957647378910236,7,"Bryce Harper",11579,547180
"Edmundo Sosa","PHI","SS",2,3.882490634918213,4.905173442094721,4,"Edmundo Sosa",17022,624641
"Cristian Pache","PHI","CF",1,-0.9852268844842911,2.511963838431213,4,"Cristian Pache",19948,665506
"Alec Bohm","PHI","3B",0,4.056288838386536,5.553881143210598,4,"Alec Bohm",21618,664761
"Kody Clemens","PHI","2B",1,0.314974308013916,2.059439757200835,3,"Kody Clemens",20572,665019
"Alec Bohm","PHI","1B",-2,-0.20345190167427063,0.47232278544062145,2,"Alec Bohm",21618,664761
"Bryson Stott","PHI","2B",7,0.03597307205200195,2.657066781330847,2,"Bryson Stott",26294,681082
"Whit Merrifield","PHI","3B",0,0.9017880260944366,1.2389067029058785,1,"Whit Merrifield",11281,593160
"David Dahl","PHI","LF",3,0.018250301480293274,1.460657208045998,1,"David Dahl",13744,621311
"Edmundo Sosa","PHI","3B",1,0.9785954654216766,1.1528683605019054,1,"Edmundo Sosa",17022,624641
"Brandon Marsh","PHI","RF",0,0.45231635868549347,0.3966186620649674,1,"Brandon Marsh",20202,669016
"David Dahl","PHI","RF",0,0.30648184940218925,0.13673240714001283,0,"David Dahl",13744,621311
"Edmundo Sosa","PHI","2B",3,-0.6609681695699692,0.4544318607339757,0,"Edmundo Sosa",17022,624641
"Weston Wilson","PHI","1B",0,0.07808616012334824,0.0601183893017607,0,"Weston Wilson",19358,642215
"Weston Wilson","PHI","2B",0,0.22066569328308105,0.04133267260122994,0,"Weston Wilson",19358,642215
"Weston Wilson","PHI","CF",0,,-0.0021387457019554404,0,"Weston Wilson",19358,642215
"Weston Wilson","PHI","RF",0,-0.06488820910453796,-0.0037252833395443608,0,"Weston Wilson",19358,642215
"Cristian Pache","PHI","LF",3,0.8970983922481537,0.4132112567797972,0,"Cristian Pache",19948,665506
"Cristian Pache","PHI","RF",0,0.09475720673799515,0.01620932164561432,0,"Cristian Pache",19948,665506
"Brandon Marsh","PHI","LF",7,0.6108090877532959,0.2403673179540764,0,"Brandon Marsh",20202,669016
"Kody Clemens","PHI","LF",0,0.5304290503263474,0.3826693190267727,0,"Kody Clemens",20572,665019
"Cal Stevenson","PHI","CF",-1,-0.01257970929145813,0.32605596090280187,0,"Cal Stevenson",22411,670276
"Cal Stevenson","PHI","LF",0,0.22194090485572815,0.3353169735382503,0,"Cal Stevenson",22411,670276
"Cal Stevenson","PHI","RF",0,0.027890440076589584,-0.01614575422479191,0,"Cal Stevenson",22411,670276
"Buddy Kennedy","PHI","2B",0,0.09811300039291382,0.415530677676688,0,"Buddy Kennedy",22505,671083
"Buddy Kennedy","PHI","3B",0,-0.8170425295829773,0.06681581449186097,0,"Buddy Kennedy",22505,671083
"Bryson Stott","PHI","SS",-1,-0.8704474903643131,-0.06322635131527504,0,"Bryson Stott",26294,681082
"Kyle Schwarber","PHI","LF",0,-0.9421420507133007,-1.1773789502581578,-1,"Kyle Schwarber",16478,656941
"Weston Wilson","PHI","LF",1,-0.8683030605316162,-1.4269502026952852,-1,"Weston Wilson",19358,642215
"Brandon Marsh","PHI","CF",0,-3.655341863632202,-1.2509335142509763,-1,"Brandon Marsh",20202,669016
"Kody Clemens","PHI","1B",1,0.45332419872283936,-1.5801130280844613,-1,"Kody Clemens",20572,665019
"Whit Merrifield","PHI","LF",2,-0.41298797726631165,-1.9992808846247745,-2,"Whit Merrifield",11281,593160
"Austin Hays","PHI","LF",-4,-3.97931706905365,-2.43475246900458,-2,"Austin Hays",19363,669720
"Whit Merrifield","PHI","2B",-2,-1.5732666552066803,-1.9474203439606992,-3,"Whit Merrifield",11281,593160
"Trea Turner","PHI","SS",-14,-1.2430880069732666,2.125941265013944,-3,"Trea Turner",16252,607208
"Weston Wilson","PHI","3B",-1,-0.8446648269891739,-2.4701009354517427,-3,"Weston Wilson",19358,642215
"Kody Clemens","PHI","3B",0,-0.9456040635704994,-2.200035874736143,-3,"Kody Clemens",20572,665019
"Nick Castellanos","PHI","RF",-11,-10.66064977645874,-18.034629388320948,-8,"Nick Castellanos",11737,592206
"Zack Wheeler","PHI","P",3,,,,"Zack Wheeler",10310,554430
"J.T. Realmuto","PHI","C",0,,2.2593625207407015,,"J.T. Realmuto",11739,592663
"Taijuan Walker","PHI","P",0,,,,"Taijuan Walker",11836,592836
"Matt Strahm","PHI","P",1,,,,"Matt Strahm",13799,621381
"Yunior Marte","PHI","P",-2,,,,"Yunior Marte",14416,628708
"Carlos Estévez","PHI","P",0,,,,"Carlos Estevez",14542,608032
"José Ruiz","PHI","P",-1,,,,"Jose Ruiz",14552,614179
"Aaron Nola","PHI","P",1,,,,"Aaron Nola",16149,605400
"Spencer Turnbull","PHI","P",-2,,,,"Spencer Turnbull",16207,605513
"Ricardo Pinto","PHI","P",0,,,,"Ricardo Pinto",16318,620982
"Aramis Garcia","PHI","C",1,,0.5235741823558078,,"Aramis Garcia",16925,605244
"Luis F. Ortiz","PHI","P",0,,,,"Luis F. Ortiz",16942,656814
"Tanner Banks","PHI","P",-1,,,,"Tanner Banks",16990,621383
"Ranger Suárez","PHI","P",5,,,,"Ranger Suarez",17277,624133
"Jeff Hoffman","PHI","P",-2,,,,"Jeff Hoffman",17432,656546
"José Alvarado","PHI","P",-3,,,,"Jose Alvarado",17780,621237
"Tyler Gilbert","PHI","P",0,,,,"Tyler Gilbert",17964,656457
"Garrett Stubbs","PHI","C",-2,,3.9810796378797138,,"Garrett Stubbs",18067,596117
"Garrett Stubbs","PHI","P",0,,,,"Garrett Stubbs",18067,596117
"Kolby Allard","PHI","P",1,,,,"Kolby Allard",18694,663465
"Seranthony Domínguez","PHI","P",-2,,,,"Seranthony Dominguez",19249,622554
"Weston Wilson","PHI","P",0,,,,"Weston Wilson",19358,642215
"Gregory Soto","PHI","P",-1,,,,"Gregory Soto",19677,642397
"Nick Nelson","PHI","P",0,,,,"Nick Nelson",20153,656793
"Kody Clemens","PHI","P",0,,,,"Kody Clemens",20572,665019
"Tyler Phillips","PHI","P",1,,,,"Tyler Phillips",20629,663969
"Cristopher Sánchez","PHI","P",3,,,,"Cristopher Sanchez",20778,650911
"Connor Brogdon","PHI","P",0,,,,"Connor Brogdon",21205,641401
"Rafael Marchán","PHI","C",1,,1.3447003442470167,,"Rafael Marchan",21646,665561
"Michael Mercado","PHI","P",0,,,,"Michael Mercado",23223,675650
"Max Lazar","PHI","P",0,,,,"Max Lazar",23426,676661
"Seth Johnson","PHI","P",0,,,,"Seth Johnson",26020,686751
"Orion Kerkering","PHI","P",-1,,,,"Orion Kerkering",31776,689147